Sl_no,SRO,YEAR,LOCATION
0, Central -Asaf Ali (SR III),2021-2022, Abul Fazal Enclave*
1, Central -Asaf Ali (SR III),2021-2022, Adarsh Nagar*
2, Central -Asaf Ali (SR III),2021-2022, Ahata kidara*
3, Central -Asaf Ali (SR III),2021-2022, Ajmal Khan Road
4, Central -Asaf Ali (SR III),2021-2022, Ajmeri Gate
5, Central -Asaf Ali (SR III),2021-2022, Alipur Road*
6, Central -Asaf Ali (SR III),2021-2022, Alipur*
7, Central -Asaf Ali (SR III),2021-2022, Amarpuri*
8, Central -Asaf Ali (SR III),2021-2022, Amrit Kaur Puri
9, Central -Asaf Ali (SR III),2021-2022, Anand Niketan*
10, Central -Asaf Ali (SR III),2021-2022, Andrews Ganj*
11, Central -Asaf Ali (SR III),2021-2022, Anna Nagar (Minto Road)
12, Central -Asaf Ali (SR III),2021-2022, Anoop Nagar*
13, Central -Asaf Ali (SR III),2021-2022, Ansari Nagar*
14, Central -Asaf Ali (SR III),2021-2022, Arakarshana Road
15, Central -Asaf Ali (SR III),2021-2022, Aram Bagh
16, Central -Asaf Ali (SR III),2021-2022, Aram Nagar
17, Central -Asaf Ali (SR III),2021-2022, Arjun Nagar*
18, Central -Asaf Ali (SR III),2021-2022, Arya Nagar (Pahar Ganj)
19, Central -Asaf Ali (SR III),2021-2022, Arya Nagar*
20, Central -Asaf Ali (SR III),2021-2022, Arya Samaj Road
21, Central -Asaf Ali (SR III),2021-2022, Asaf Ali Road
22, Central -Asaf Ali (SR III),2021-2022, Ashok Nagar*
23, Central -Asaf Ali (SR III),2021-2022, Ashok Vihar*
24, Central -Asaf Ali (SR III),2021-2022, Ashoka Pahari (Manakpura )
25, Central -Asaf Ali (SR III),2021-2022, Ashram*
26, Central -Asaf Ali (SR III),2021-2022, Asola*
27, Central -Asaf Ali (SR III),2021-2022, Badarpur*
28, Central -Asaf Ali (SR III),2021-2022, Baggichi Madhodas (Jama Masjid)
29, Central -Asaf Ali (SR III),2021-2022, Bagh Raoji Colony (Manakpura)
30, Central -Asaf Ali (SR III),2021-2022, Bagh Raoji*
31, Central -Asaf Ali (SR III),2021-2022, Bagichi Allauddin (Qadam Shariff)
32, Central -Asaf Ali (SR III),2021-2022, Bagichi Allauddin*
33, Central -Asaf Ali (SR III),2021-2022, Bahadur Shah Zafar Marg
34, Central -Asaf Ali (SR III),2021-2022, Bali Nagar*
35, Central -Asaf Ali (SR III),2021-2022, Baljeet Nagar*
36, Central -Asaf Ali (SR III),2021-2022, Balmiki Basti (Minto Road)
37, Central -Asaf Ali (SR III),2021-2022, Balmiki Colony (Dev Nagar)
38, Central -Asaf Ali (SR III),2021-2022, Bangali Market*
39, Central -Asaf Ali (SR III),2021-2022, Bapa Nagar
40, Central -Asaf Ali (SR III),2021-2022, Bara Hindu Rao*
41, Central -Asaf Ali (SR III),2021-2022, Baradari (Ballimaran)
42, Central -Asaf Ali (SR III),2021-2022, Basai Darapur*
43, Central -Asaf Ali (SR III),2021-2022, Basant Nagar*
44, Central -Asaf Ali (SR III),2021-2022, Basti Harphool Singh*
45, Central -Asaf Ali (SR III),2021-2022, Basti Julahan*
46, Central -Asaf Ali (SR III),2021-2022, Batla House*
47, Central -Asaf Ali (SR III),2021-2022, Bazar Lal Kuan*
48, Central -Asaf Ali (SR III),2021-2022, Bazar Sita Ram
49, Central -Asaf Ali (SR III),2021-2022, Beadon Pura
50, Central -Asaf Ali (SR III),2021-2022, Bela Road*
51, Central -Asaf Ali (SR III),2021-2022, Beri Wala Bagh*
52, Central -Asaf Ali (SR III),2021-2022, Bhagirath Palace*
53, Central -Asaf Ali (SR III),2021-2022, Bharat Nagar*
54, Central -Asaf Ali (SR III),2021-2022, Bharthal*
55, Central -Asaf Ali (SR III),2021-2022, Bhikaji Cama Place*
56, Central -Asaf Ali (SR III),2021-2022, Bhim Nagar*
57, Central -Asaf Ali (SR III),2021-2022, Bhogal*
58, Central -Asaf Ali (SR III),2021-2022, Bijwasan*
59, Central -Asaf Ali (SR III),2021-2022, Bindapur*
60, Central -Asaf Ali (SR III),2021-2022, Birla Lines*
61, Central -Asaf Ali (SR III),2021-2022, Bulbuli Khan Darya Ganj
62, Central -Asaf Ali (SR III),2021-2022, Chamelian Road*
63, Central -Asaf Ali (SR III),2021-2022, Chanakya Puri*
64, Central -Asaf Ali (SR III),2021-2022, Chandiwalan*
65, Central -Asaf Ali (SR III),2021-2022, Chandni Mahal
66, Central -Asaf Ali (SR III),2021-2022, Chandrawal Road*
67, Central -Asaf Ali (SR III),2021-2022, Chatta Lal Mian*
68, Central -Asaf Ali (SR III),2021-2022, Chatta Lal Miya (Darya Ganj)
69, Central -Asaf Ali (SR III),2021-2022, Chawri Bazar*
70, Central -Asaf Ali (SR III),2021-2022, Chhatta Lal Mian*
71, Central -Asaf Ali (SR III),2021-2022, Chhawla*
72, Central -Asaf Ali (SR III),2021-2022, Chirag Delhi*
73, Central -Asaf Ali (SR III),2021-2022, Chitla Gate Area (Darya Ganj)
74, Central -Asaf Ali (SR III),2021-2022, Chitli Qabar*
75, Central -Asaf Ali (SR III),2021-2022, Chuna Mandi
76, Central -Asaf Ali (SR III),2021-2022, Churiwalan*
77, Central -Asaf Ali (SR III),2021-2022, Civil Lines*
78, Central -Asaf Ali (SR III),2021-2022, Dakshinpuri Extension*
79, Central -Asaf Ali (SR III),2021-2022, Dariba Kalan*
80, Central -Asaf Ali (SR III),2021-2022, Darya Ganj*
81, Central -Asaf Ali (SR III),2021-2022, Daryaganj*
82, Central -Asaf Ali (SR III),2021-2022, DDU Marg*
83, Central -Asaf Ali (SR III),2021-2022, Defence Colony*
